versão=1.0
MG02990002|Crédito por entrada; Outras Apurações; Resp.: Informativo; Apur.: Informativo; Mercadoria; Transf. Crédito.|01012009|
MG10000004|Outros créditos; Op.Própria; Resp.: Própria; Apur.: A apurar; Mercadoria; Antecipação Tributária.|01012009|
MG10000008|Outros créditos; Op.Própria; Resp.: Própria; Apur.: A apurar; Mercadoria; Ativo permanente.|01012009|
MG10000013|Outros créditos; Op.Própria; Resp.: Própria; Apur.: A apurar; Mercadoria; Rest.ICMS/ST - Creditamento.|01012009|
MG10000503|Outros créditos; Op.Própria; Resp.: Própria; Apur.: A apurar; Mercadoria; ICMS ST de Insumo.|01012009|
MG10000504|Outros créditos; Op.Própria; Resp.: Própria; Apur.: A apurar; Mercadoria; Uso e consumo.|01012009|
MG10001014|Outros créditos; Op.Própria; Resp.: Própria; Apur.: A apurar; Transporte; ST - Transporte.|01012009|
MG10990002|Outros créditos; Op.Própria; Resp.: Informativo; Apur.: Informativo; Mercadoria; Transf. Crédito.|01012009|
MG10990010|Outros créditos; Op.Própria; Resp.: Informativo; Apur.: Informativo; Mercadoria; Lançamento extemporâneo.|01012009|
MG11000012|Outros créditos; Op.ST; Resp.: Própria; Apur.: A apurar; Mercadoria; Rest.ICMS/ST - Abatimento.|01012009|
MG11900011|Outros créditos; Op.ST; Resp.: Informativo; Apur.: A apurar; Mercadoria; Rest.ICMS/ST - Ressarcimento.|01012009|
MG11990002|Outros créditos; Op.ST; Resp.: Informativo; Apur.: Informativo; Mercadoria; Transf. Crédito.|01012009|
MG20010000|Estorno de débito; Op.Própria; Resp.: Própria; Apur.: Recolhimento Espontâneo; Mercadoria; Op. Normal.|01012009|
MG20000008|Estorno débito; Op.Própria; Resp.: Própria; Apur.: A apurar; Mercadoria; Ativo permanente.|01012009|
MG20020000|Estorno de débito; Op.Própria; Resp.: Própria; Apur.: Recolhimento por autuação; Mercadoria; Op. Normal.|01012009|
MG20000504|Estorno débito; Op.Própria; Resp.: Própria; Apur.: A apurar; Mercadoria; Uso e Consumo.|01012009|
MG21010000|Estorno de débito; Op.ST; Resp.: Própria; Apur.: Recolhimento Espontâneo; Mercadoria; Op. Normal.|01012009|
MG21020000|Estorno de débito; Op.ST; Resp.: Própria; Apur.: Recolhimento por autuação; Mercadoria; Op. Normal.|01012009|
MG32990002|Débito por saída; Outras Apurações; Resp.: Informativo; Apur.: Informativo; Mercadoria; Transf. Crédito.|01012009|
MG40000000|Outros débitos; Op.Própria; Resp.: Própria; Apur.: A apurar; Mercadoria; Op. Normal.|01012009|
MG40000008|Outros débitos; Op.Própria; Resp.: Própria; Apur.: A apurar; Mercadoria; Ativo permanente.|01012009|
MG40000999|Outros débitos; Op.Própria; Resp.: Própria; Apur.: A apurar; Mercadoria; Outros Ajustes.|01012009|
MG40990002|Outros débitos; Op.Própria; Resp.: Informativo; Apur.: Informativo; Mercadoria; Transf. Crédito.|01012009|
